Location,Price,Zone,City,Area
"Calle 39 Poniente 101, Gabriel Pastor 1ra Sección, Puebla de Zaragoza, Puebla, México","MN 11,900,000",16 de Septiembre, Puebla,648 m²
Error,Error,Error,Error,Error
"Avenida Las Haras 3001, Francisco Javier Clavijero Puebla","MN 6,698,274",Francisco Javier Clavijero, Puebla,3044 m²
"Venta DE Terreno, Puebla, Ideal Fraccionamiento, Plusvalía","MN 5,000,000",Santa Cruz Buenavista, Puebla,2197 m²
C. de la Era SN,"MN 799,175",San José del Puente, Puebla,122 m²
C. de la Era SN,"MN 905,840",San José del Puente, Puebla,139 m²
C. de la Era SN,"MN 780,000",San José del Puente, Puebla,120 m²
C. de la Era SN,"MN 877,982",San José del Puente, Puebla,117 m²
"Calle 17 Sur, Ex Hacienda Mayorazgo, Puebla.","MN 2,949,930",Fraccionamiento Ex-Hacienda Mayorazgo, Puebla,480 m²
"Av 23 Pte 3326, Belisario Domínguez, 72180 Puebla, Pue.","MN 1,224,000",Centro, Puebla,122 m²
"Prolongación, Av. Las Haras 3001, Haras Flor del Bosque, Puebla, Pue.","MN 1,140,000",Campestre Haras, Puebla,300 m²
"Calle 49 Sur & Av 3 Pte La Paz 72160 Puebla, Pue.","MN 8,000",La Paz, Puebla,1630 m²
"Buenavista 2019, Camino Real a Cholula, 72154 Puebla, Pue.","MN 9,144,250",Buenavista, Puebla,731 m²
"Av Fuente de Trevi 24, San Rafael Poniente, 72029 Puebla, Pue.","MN 3,700,000",Club de golf Las Fuentes, Puebla,252 m²
"VENTA LOTE 200.07M2 RANCHO CHAPULCO, PERIFERICO AL SUR DE LA CIUDAD DE PUEBLA 0","MN 1,580,000",Fraccionamiento Rancho Chapulco, Puebla,200 m²
"TERRENO EN VENTA DE 800M2 EN EL ENCINAR, FRENTE HARAS CIUDAD ECOLOGICA, PUEBLA 0 Se vende todo o en partes","MN 1,280,000",San Diego Álamos, Puebla,800 m²
"Terreno en Venta en Hacienda San Miguel Residencial - Calle 100 Sur 11701, Camino Antiguo a Agua Santa, Lote 6, Ex-Hacienda Mayorazgo, Puebla","MN 2,950,000",Fraccionamiento Ex-Hacienda Mayorazgo, Puebla,438 m²
"Terreno en venta 22,880 m2, zona Atlixcáyotl y Periférico, junto Agencia Infiniti, Puebla .","USD 3,666,666",Zona comercial Corredeor Comercial Desarrollo Atlixcayotl, Puebla,22880 m²
Predio el Fortin,"MN 27,683,040",Puebla, Puebla,57673 m²
Prolongación Avenida de las Harás,"MN 3,520,300",Puebla, Puebla,749 m²
Antiguo Camino a San Lorenzo,"MN 1,656,600",Puebla, Puebla,500 m²
"Cam. a Ocotlán, Santa Barbara Almoloya, 72750 Cholula, Pue., México","MN 629,625",Puebla, Puebla,109 m²
"Calle 43 Pte. 107, Del Calvario, 73797 San Carlos, Pue., México","MN 1,200,000",Puebla, Puebla,1000 m²
Ares 33 Clúster Malta Lomas de Angelópolis 3,"MN 1,550,000",Puebla, Puebla,236 m²
Miguel Hidalgo,"MN 108,000,000",Puebla, Puebla,12000 m²
Terreno EN Venta EN Cadereyta Jimenez,"MN 16,770,000",Puebla, Puebla,430000 m²
Av. Vicente Guerrero,"MN 11,223,000",Puebla, Puebla,3741 m²
Circuito Amapola Oriente,"MN 5,200",Fraccionamiento Los Héroes de Puebla, Puebla,371 m²
prolongacion de la 11 sur,"MN 2,170,000",San Ramon , Puebla,574 m²
"Venta Terreno, 500 metros, ideal para edificio, zona Rosendo Márquez .","MN 4,250,000",Ampliación Reforma, Puebla,500 m²
Error,Error,Error,Error,Error
Terreno en Venta en Periférico y Boulevard Carmelitas,"MN 5,500,000",Las Carmelitas, Puebla,665 m²
Error,Error,Error,Error,Error
TERRENO EN VENTA DENTRO DE FRACCIONAMIENTO EN HARAS DEL BOSQUE,"MN 2,567,000",Flor del Bosque, Puebla,873 m²
las carmelitas,"MN 2,590,000",Las Carmelitas, Puebla,700 m²
